Antecedent,Consequent,Confidence
"View/Response messages,View Customer Account Balances,View only Login As,View content reports",View Operation Reports,0.9241379310344827
"View/Response messages,View Customer Account Balances,View only Login As,View content reports",Manage Content Rules,0.8551724137931035
"View/Response messages,View Customer Account Balances,View only Login As,View content reports",Manage Content,0.8551724137931035
"Manage Content Rules,View only Login As,Manage Content",View content reports,0.9398496240601504
"Manage Content Rules,View only Login As,Manage Content",View Customer Account Balances,1.0
"Manage Content Rules,View only Login As,Manage Content",View Operation Reports,0.9398496240601504
"Manage Content Rules,View only Login As,Manage Content",View/Response messages,0.9323308270676691
"View/Response messages,View Operation Reports,View only Login As,Manage Content",View content reports,1.0
"View/Response messages,View Operation Reports,View only Login As,Manage Content",Manage Content Rules,1.0
"View/Response messages,View Operation Reports,View only Login As,Manage Content",View Customer Account Balances,1.0
"View Customer Account Balances,Manage Content,View content reports",View only Login As,1.0
"View Customer Account Balances,Manage Content,View content reports",Manage Content Rules,1.0
"View Customer Account Balances,Manage Content,View content reports",View Operation Reports,1.0
"View Customer Account Balances,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,View Operation Reports,View content reports",View only Login As,1.0
"View/Response messages,View Operation Reports,View content reports",Manage Content Rules,0.9253731343283582
"View/Response messages,View Operation Reports,View content reports",Manage Content,0.9253731343283582
"View/Response messages,View Operation Reports,View content reports",View Customer Account Balances,1.0
"View/Response messages,Manage Content Rules",View Operation Reports,0.96875
"View/Response messages,Manage Content Rules",View only Login As,0.96875
"View/Response messages,Manage Content Rules",Manage Content,1.0
"View/Response messages,Manage Content Rules",View Customer Account Balances,0.96875
"View/Response messages,Manage Content Rules",View content reports,1.0
"View Customer Account Balances,View only Login As,Manage Content,View content reports",Manage Content Rules,1.0
"View Customer Account Balances,View only Login As,Manage Content,View content reports",View Operation Reports,1.0
"View Customer Account Balances,View only Login As,Manage Content,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content Rules,View Customer Account Balances,View content reports",View Operation Reports,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View content reports",View only Login As,1.0
"View/Response messages,Manage Content Rules,View Customer Account Balances,View content reports",Manage Content,1.0
"View Operation Reports,Manage Content Rules,Manage Content,View content reports",View only Login As,0.8865248226950354
"View Operation Reports,Manage Content Rules,Manage Content,View content reports",View Customer Account Balances,0.8865248226950354
"View Operation Reports,Manage Content Rules,Manage Content,View content reports",View/Response messages,0.8794326241134752
"Manage Content Rules,View Customer Account Balances,View content reports",View only Login As,1.0
"Manage Content Rules,View Customer Account Balances,View content reports",Manage Content,1.0
"Manage Content Rules,View Customer Account Balances,View content reports",View Operation Reports,1.0
"Manage Content Rules,View Customer Account Balances,View content reports",View/Response messages,0.992
"View/Response messages,Manage Content Rules,View content reports",View Operation Reports,0.96875
"View/Response messages,Manage Content Rules,View content reports",View only Login As,0.96875
"View/Response messages,Manage Content Rules,View content reports",Manage Content,1.0
"View/Response messages,Manage Content Rules,View content reports",View Customer Account Balances,0.96875
